x,y,flux(W/m2)
3.64,3.32,0.00535484
3.72,3.32,0.00721739
3.8,3.32,0.00582047
3.88,3.32,0.00675173
3.96,3.32,0.00558763
-3.96,3.24,0.00535482
-3.88,3.24,0.00395792
-3.8,3.24,0.00698456
-3.72,3.24,0.00698457
-3.64,3.24,0.00675176
-3.56,3.24,0.00465639
-3.48,3.24,0.00605332
-3.4,3.24,0.00628615
-3.32,3.24,0.00768308
-3.24,3.24,0.0067518
-3.16,3.24,0.00745027
-3.08,3.24,0.0076831
-3,3.24,0.00698464
-2.92,3.24,0.00931286
-2.84,3.24,0.00791594
-2.76,3.24,0.00791595
-2.68,3.24,0.00768314
-2.6,3.24,0.00977854
-2.52,3.24,0.00605339
-2.44,3.24,0.00954574
-2.36,3.24,0.0090801
-2.28,3.24,0.00954576
-2.2,3.24,0.0132709
-2.12,3.24,0.011874
-2.04,3.24,0.00838165
-1.96,3.24,0.0100114
-1.88,3.24,0.0123397
-1.8,3.24,0.0107099
-1.72,3.24,0.011874
-1.64,3.24,0.0095458
-1.56,3.24,0.0116412
-1.48,3.24,0.0137366
-1.4,3.24,0.0118741
-1.32,3.24,0.0123397
-1.24,3.24,0.0155993
-1.16,3.24,0.0135039
-1.08,3.24,0.0142023
-1,3.24,0.0121069
-0.92,3.24,0.013271
-0.84,3.24,0.0116413
-0.76,3.24,0.0160649
-0.68,3.24,0.0158321
-0.6,3.24,0.0125726
-0.52,3.24,0.0144352
-0.44,3.24,0.0128054
-0.36,3.24,0.0169963
-0.28,3.24,0.0135039
-0.2,3.24,0.0179276
-0.12,3.24,0.0172291
-0.04,3.24,0.0158321
0.04,3.24,0.0155993
0.12,3.24,0.0116413
0.2,3.24,0.0149008
0.28,3.24,0.0162978
0.36,3.24,0.0137367
0.44,3.24,0.0132711
0.52,3.24,0.0142024
0.6,3.24,0.0137367
0.68,3.24,0.0137367
0.76,3.24,0.0160649
0.84,3.24,0.0149008
0.92,3.24,0.0121069
1,3.24,0.0153665
1.08,3.24,0.0137367
1.16,3.24,0.0165306
1.24,3.24,0.0153665
1.32,3.24,0.00954582
